base_verb,conjugation_id,conjugated_verb
書く,other_desire,書きたがる
書く,plain_potential,書ける
書く,polite_potential,書けます
書く,plain_imperative,書け
書く,polite_imperative,書いてください
書く,negative_imperative,書くな
書く,plain_volitional,書こう
書く,polite_volitional,書きましょう
書く,ba_conditional,書けば
書く,tara_conditional,書いたら
書く,polite_tara_conditional,書きましたら
書く,tara_conditional_past,書いていたら
書く,plain_presumptive,書くだろう
書く,polite_presumptive,書くでしょう
書く,plain_past_presumptive,書いただろう
書く,passive,書かれる
書く,causative,書かせる
書く,causative_passive,書かせられる
書く,negative_request,書かないでください
書く,representative,書いたり
書く,way_of_doing,書き方
書く,apparent_reported,書くようだ
泳ぐ,plain_present,泳ぐ
泳ぐ,polite_present,泳ぎます
泳ぐ,plain_negative,泳がない
泳ぐ,polite_negative,泳ぎません
泳ぐ,plain_past,泳いだ
泳ぐ,polite_past,泳ぎました
泳ぐ,plain_past_negative,泳がなかった
泳ぐ,polite_past_negative,泳ぎませんでした
泳ぐ,continuous_past,泳いでいた
泳ぐ,te_form,泳いで
泳ぐ,te_iru,泳いでいる
泳ぐ,te_ita,泳いでいた
泳ぐ,te_aru,泳いである
泳ぐ,te_oku,泳いでおく
泳ぐ,te_ageru,泳いであげる
泳ぐ,desire,泳ぎたい
泳ぐ,other_desire,泳ぎたがる
泳ぐ,plain_potential,泳げる
泳ぐ,polite_potential,泳げます
泳ぐ,plain_imperative,泳げ
泳ぐ,polite_imperative,泳いでください
泳ぐ,negative_imperative,泳ぐな
泳ぐ,plain_volitional,泳ごう
泳ぐ,polite_volitional,泳ぎましょう
泳ぐ,ba_conditional,泳げば
泳ぐ,tara_conditional,泳いだら
泳ぐ,polite_tara_conditional,泳ぎましたら
泳ぐ,tara_conditional_past,泳いでいたら
泳ぐ,plain_presumptive,泳ぐだろう
泳ぐ,polite_presumptive,泳ぐでしょう
泳ぐ,plain_past_presumptive,泳いだだろう
泳ぐ,passive,泳がれる
泳ぐ,causative,泳がせる
泳ぐ,causative_passive,泳がせられる
泳ぐ,negative_request,泳がないでください
泳ぐ,representative,泳いだり
泳ぐ,way_of_doing,泳ぎ方
泳ぐ,apparent_reported,泳ぐようだ
話す,plain_present,話す
話す,polite_present,話します
話す,plain_negative,話さない
話す,polite_negative,話しません
話す,plain_past,話した
話す,polite_past,話しました
話す,plain_past_negative,話さなかった
話す,polite_past_negative,話しませんでした
話す,continuous_past,話していた
話す,te_form,話して
話す,te_iru,話している
話す,te_ita,話していた
話す,te_aru,話してある
話す,te_oku,話しておく
話す,te_ageru,話してあげる
話す,desire,話したい
話す,other_desire,話したがる
話す,plain_potential,話せる
話す,polite_potential,話せます
話す,plain_imperative,話せ
話す,polite_imperative,話してください
話す,negative_imperative,話すな
話す,plain_volitional,話そう
話す,polite_volitional,話しましょう
話す,ba_conditional,話せば
話す,tara_conditional,話したら
話す,polite_tara_conditional,話しましたら
話す,tara_conditional_past,話していたら
話す,plain_presumptive,話すだろう
話す,polite_presumptive,話すでしょう
話す,plain_past_presumptive,話しただろう
話す,passive,話される
話す,causative,話させる
話す,causative_passive,話させられる
話す,negative_request,話さないでください
話す,representative,話したりする
話す,way_of_doing,話し方
話す,apparent_reported,話すそうだ
持つ,plain_present,持つ
持つ,polite_present,持ちます
持つ,plain_negative,持たない
持つ,polite_negative,持ちません
持つ,plain_past,持った
持つ,polite_past,持ちました
持つ,plain_past_negative,持たなかった
持つ,polite_past_negative,持ちませんでした
持つ,continuous_past,持っていた
持つ,te_form,持って
持つ,te_iru,持っている
持つ,te_ita,持っていた
持つ,te_aru,持ってある
持つ,te_oku,持っておく
持つ,te_ageru,持ってあげる
持つ,desire,持ちたい
持つ,other_desire,持ちたがる
持つ,plain_potential,持てる
持つ,polite_potential,持てます
持つ,plain_imperative,持て
持つ,polite_imperative,持ってください
持つ,negative_imperative,持つな
持つ,plain_volitional,持とう
持つ,polite_volitional,持ちましょう
持つ,ba_conditional,持てば
持つ,tara_conditional,持ったら
持つ,polite_tara_conditional,持ちましたら
持つ,tara_conditional_past,持っていたら
持つ,plain_presumptive,持つだろう
持つ,polite_presumptive,持つでしょう
持つ,plain_past_presumptive,持っただろう
持つ,passive,持たれる
持つ,causative,持たせる
持つ,causative_passive,持たせられる
持つ,negative_request,持たないでください
持つ,representative,持ったりする
持つ,way_of_doing,持ち方
持つ,apparent_reported,持つそうだ
死ぬ,plain_present,死ぬ
死ぬ,polite_present,死にます
死ぬ,plain_negative,死なない
死ぬ,polite_negative,死にません
死ぬ,plain_past,死んだ
死ぬ,polite_past,死にました
死ぬ,plain_past_negative,死ななかった
死ぬ,polite_past_negative,死にませんでした
死ぬ,continuous_past,死んでいた
死ぬ,te_form,死んで
死ぬ,te_iru,死んでいる
死ぬ,te_ita,死んでいた
死ぬ,te_aru,死んである
死ぬ,te_oku,死んでおく
死ぬ,te_ageru,死んであげる
死ぬ,desire,死にたい
死ぬ,other_desire,死にたがる
死ぬ,plain_potential,死ねる
死ぬ,polite_potential,死ねます
死ぬ,plain_imperative,死ね
死ぬ,polite_imperative,死んでください
死ぬ,negative_imperative,死ぬな
死ぬ,plain_volitional,死のう
死ぬ,polite_volitional,死にましょう
死ぬ,ba_conditional,死ねば
死ぬ,tara_conditional,死んだら
死ぬ,polite_tara_conditional,死にましたら
死ぬ,tara_conditional_past,死んでいたら
死ぬ,plain_presumptive,死ぬだろう
死ぬ,polite_presumptive,死ぬでしょう
死ぬ,plain_past_presumptive,死んだだろう
死ぬ,passive,死なれる
死ぬ,causative,死なせる
死ぬ,causative_passive,死なせられる
死ぬ,negative_request,死なないでください
死ぬ,representative,死んだりする
死ぬ,way_of_doing,死に方
死ぬ,apparent_reported,死ぬそうだ
遊ぶ,plain_present,遊ぶ
遊ぶ,polite_present,遊びます
遊ぶ,plain_negative,遊ばない
遊ぶ,polite_negative,遊びません
遊ぶ,plain_past,遊んだ
遊ぶ,polite_past,遊びました
遊ぶ,plain_past_negative,遊ばなかった
遊ぶ,polite_past_negative,遊びませんでした
遊ぶ,continuous_past,遊んでいた
遊ぶ,te_form,遊んで
遊ぶ,te_iru,遊んでいる
遊ぶ,te_ita,遊んでいた
遊ぶ,te_aru,遊んである
遊ぶ,te_oku,遊んでおく
遊ぶ,te_ageru,遊んであげる
遊ぶ,desire,遊びたい
遊ぶ,other_desire,遊びたがる
遊ぶ,plain_potential,遊べる
遊ぶ,polite_potential,遊べます
遊ぶ,plain_imperative,遊べ
遊ぶ,polite_imperative,遊んでください
遊ぶ,negative_imperative,遊ぶな
遊ぶ,plain_volitional,遊ぼう
遊ぶ,polite_volitional,遊びましょう
遊ぶ,ba_conditional,遊べば
遊ぶ,tara_conditional,遊んだら
遊ぶ,polite_tara_conditional,遊びましたら
遊ぶ,tara_conditional_past,遊んでいたら
遊ぶ,plain_presumptive,遊ぶだろう
遊ぶ,polite_presumptive,遊ぶでしょう
遊ぶ,plain_past_presumptive,遊んだだろう
遊ぶ,passive,遊ばれる
遊ぶ,causative,遊ばせる
遊ぶ,causative_passive,遊ばせられる
遊ぶ,negative_request,遊ばないでください
遊ぶ,representative,遊んだり
遊ぶ,way_of_doing,遊び方
遊ぶ,apparent_reported,遊ぶようだ
読む,plain_present,読む
読む,polite_present,読みます
読む,plain_negative,読まない
読む,polite_negative,読みません
読む,plain_past,読んだ
読む,polite_past,読みました
読む,plain_past_negative,読まなかった
読む,polite_past_negative,読みませんでした
読む,continuous_past,読んでいた
読む,te_form,読んで
読む,te_iru,読んでいる
読む,te_ita,読んでいた
読む,te_aru,読んである
読む,te_oku,読んでおく
読む,te_ageru,読んであげる
読む,desire,読みたい
読む,other_desire,読みたがる
読む,plain_potential,読める
読む,polite_potential,読めます
読む,plain_imperative,読め
読む,polite_imperative,読んでください
読む,negative_imperative,読むな
読む,plain_volitional,読もう
読む,polite_volitional,読みましょう
読む,ba_conditional,読めば
読む,tara_conditional,読んだら
読む,polite_tara_conditional,読みましたら
読む,tara_conditional_past,読んでいたら
読む,plain_presumptive,読むだろう
読む,polite_presumptive,読むでしょう
読む,plain_past_presumptive,読んだろう
読む,passive,読まれる
読む,causative,読ませる
読む,causative_passive,読ませられる
読む,negative_request,読まないでください
読む,representative,読んだり
読む,way_of_doing,読み方
読む,apparent_reported,読むようだ
走る,plain_present,走る
走る,polite_present,走ります
走る,plain_negative,走らない
走る,polite_negative,走りません
走る,plain_past,走った
走る,polite_past,走りました
走る,plain_past_negative,走らなかった
走る,polite_past_negative,走りませんでした
走る,continuous_past,走っていた
走る,te_form,走って
走る,te_iru,走っている
走る,te_ita,走っていた
走る,te_aru,走ってある
走る,te_oku,走っておく
走る,te_ageru,走ってあげる
走る,desire,走りたい
走る,other_desire,走りたがる
走る,plain_potential,走れる
走る,polite_potential,走れます
走る,plain_imperative,走れ
走る,polite_imperative,走ってください
走る,negative_imperative,走るな
走る,plain_volitional,走ろう
走る,polite_volitional,走りましょう
走る,ba_conditional,走れば
走る,tara_conditional,走ったら
走る,polite_tara_conditional,走りましたら
走る,tara_conditional_past,走っていたら
走る,plain_presumptive,走るだろう
走る,polite_presumptive,走るでしょう
走る,plain_past_presumptive,走っただろう
走る,passive,走られる
走る,causative,走らせる
走る,causative_passive,走らせられる
走る,negative_request,走らないでください
走る,representative,走ったり
走る,way_of_doing,走り方
走る,apparent_reported,走るようだ
する,plain_present,する
する,polite_present,します
する,plain_negative,しない
する,polite_negative,しません
する,plain_past,した
する,polite_past,しました
する,plain_past_negative,しなかった
する,polite_past_negative,しませんでした
する,continuous_past,していた
する,te_form,して
する,te_iru,している
する,te_ita,していた
する,te_aru,してある
する,te_oku,しておく
する,te_ageru,してあげる
する,desire,したい
する,other_desire,したがる
する,plain_potential,できる
する,polite_potential,できます
する,plain_imperative,しろ
する,polite_imperative,してください
する,negative_imperative,するな
する,plain_volitional,しよう
する,polite_volitional,しましょう
する,ba_conditional,すれば
する,tara_conditional,したら
する,polite_tara_conditional,しましたら
する,tara_conditional_past,したら
する,plain_presumptive,するだろう
する,polite_presumptive,するでしょう
する,plain_past_presumptive,しただろう
する,passive,される
する,causative,させる
する,causative_passive,させられる
する,negative_request,しないで
する,representative,したり
する,way_of_doing,しかた
する,apparent_reported,するそうだ
くる,plain_present,くる
くる,polite_present,きます
くる,plain_negative,こない
くる,polite_negative,きません
くる,plain_past,きた
くる,polite_past,きました
くる,plain_past_negative,こなかった
くる,polite_past_negative,きませんでした
くる,continuous_past,きていた
くる,te_form,きて
くる,te_iru,きている
くる,te_ita,きていた
くる,te_aru,きてある
くる,te_oku,きておく
くる,te_ageru,きてあげる
くる,desire,きたい
くる,other_desire,きたがる
くる,plain_potential,こられる
くる,polite_potential,こられます
くる,plain_imperative,こい
くる,polite_imperative,きてください
くる,negative_imperative,くるな
くる,plain_volitional,こよう
くる,polite_volitional,きましょう
くる,ba_conditional,くれば
くる,tara_conditional,きたら
くる,polite_tara_conditional,きましたら
くる,tara_conditional_past,きたら
くる,plain_presumptive,くるだろう
くる,polite_presumptive,くるでしょう
くる,plain_past_presumptive,きただろう
くる,passive,こられる
くる,causative,こさせる
くる,causative_passive,こさせられる
くる,negative_request,こないで
くる,representative,きたり
くる,way_of_doing,きかた
くる,apparent_reported,くるそうだ
